ID,Species,Discussion/Notes
1,Stipa pulchra,"grass species that is commonly used, used for increaser (ufi)"
2,Achillea millefolium,"commonly used pollinator forb, ufi"
3,Baccharis pilularis,"wind pollinated/dispersed shrub, dominant cover"
4,Frangula californica,"gravity/bird dispersed shrub, dominant cover"
5,Juncus patens,commonly requested and widespread wetland plant
6,Scrophularia californica,"pollinator species, ufi"
7,Grindelia hirsutula,"serpentine assoc, endemic, many varieties"
8,Elymus glaucus,"grass, used for increaser (ufi)"
9,Carex subbracteata,"sedge, ubiquitous"
10,Fragaria chiloensis,selfing/outcrossing
11,Quercus agrifolia,"keystone sp., high gene flow"
12,Aesculus californica,"seed sz & transfer, population isolation, possible historic transfer by indigenous peoples"
13,Mimulus aurantiacus,"ubiquitous, gravity"
14,Lupinus chamissonis,"coastal endemic legume, ballistic"
15,Artemisia californica,"pollen wind, seed wind/animal, obligate outcrossing"
16,Danthonia californica,"grass, used for increaser (ufi)"
17,Eriogonum latifolium,"pollinator species, ufi"
18,Ericameria ericoides,cal endemic
19,Erigeron glaucus,"pollinator species, could be ufi, ubiquitous"
20,Festuca rubra,"grass, ufi"
21,Rubus ursinus,"woody, wildlife assoc"
22,Symphyotrichum chilense,"pollinator species, could be ufi, ubiquitous"
23,Juncus occidentalis,"juncus, dry site ubiquitous, possible ufi"
24,Elymus triticoides,"exceptional direct seed ufi, viable seed populations are uncommon"
25,Lupinus albifrons,ufi
